User ID , Name                  , Degree , Field of Study    , Educational Institute , Date of Birth , City       , Position Held     , Grad Year , Country of Nationality , Email                 , Applied Position     , Languages
137, Nour Al-Khatib              , B.Sc.    , Environmental Engineering , Yarmouk University    , 2000-12-18    , Ajloun     , Environmental Engineer      ,2023, Jordan                             , nour@example.com      , Senior Environmental Engineer   ," Arabic, English"
138, Rami Al-Rifai                 , M.A.      , Human Resources         , Petra Tech Institute         , 1997-05-08    , Madaba   , HR Manager                         ,2020, Jordan                             , rami@example.com     , Senior HR Manager                          ," Arabic, English"
139, Dalia Al-Masoud           , B.A.      , Urban Design             , Mutah University             , 2000-10-21    , Salt          , Urban Designer                   ,2023, Jordan                             , dalia@example.com    , Senior Urban Designer                 ," Arabic, English"
140, Samira Al-Najjar            , Ph.D.     , Cognitive Science       , Princess Sumaya University , 1996-03-17    , Zarqa       , Cognitive Scientist             ,2019, Jordan                             , samira@example.com , Lead Cognitive Scientist              ," Arabic, English"
141, Yazan Al-Husseini        , B.Sc.    , Materials Science      , Philadelphia University       , 2000-01-04    , Irbid          , Materials Scientist               ,2023, Jordan                             , yazan@example.com    , Senior Materials Scientist          ," Arabic, English"
142, Hiba Al-Said                   , M.Sc.    , Machine Learning       , Hashemite University        , 1998-06-27    , Ma'an      , Machine Learning Engineer  ,2021, Jordan                             , hiba@example.com      , Senior Machine Learning Engineer ," Arabic, English"
143, Ahmad Al-Mahmoud      , B.A.      , Theatre Arts                , Yarmouk University          , 2000-09-09    , Ajloun     , Theatre Director                   ,2023, Jordan                             , ahmad@example.com  , Senior Theatre Director                ," Arabic, English"
144, Rana Al-Masri                , Ph.D.     , Nanomedicine            , Petra Tech Institute          , 1995-12-13    , Ramtha    , Nanomedical Scientist       ,2018, Jordan                             , rana@example.com     , Lead Nanomedical Scientist        ," Arabic, English"
145, Omar Al-Khalidi               , B.Sc.    , Robotics                         , Mutah University              , 2000-07-26    , Madaba    , Robotics Engineer                ,2023, Jordan                             , omar@example.com    , Senior Robotics Engineer             ," Arabic, English"
146, Aisha Al-Farsi            , B.A.      , Fashion Design           , Philadelphia University    , 2000-04-03    , Zarqa        , Fashion Designer            ,2023, Jordan                             , aisha@example.com        , Senior Fashion Designer  ," Arabic, English"
147, Youssef Al-Tamimi     , M.Sc.    , Data Analytics           , Hashemite University      , 1998-07-17    , Irbid          , Data Analyst                    ,2021, Jordan                             , youssef@example.com   , Senior Data Analyst          ," Arabic, English"
148, Sara Al-Qudsi              , B.Sc.    , Biotechnology             , Petra Tech Institute         , 2000-10-29    , Ajloun        , Biotechnologist                 ,2023, Jordan                             , sara@example.com           , Senior Biotechnologist    ," Arabic, English"
149, Hassan Al-Muhaisen    , Ph.D.     , Artificial Intelligence , Princess Sumaya University , 1996-02-12    , Ma'an        , AI Research Scientist      ,2019, Jordan                             , hassan@example.com     , Lead AI Research Scientist ," Arabic, English"
150, Noor Al-Darwish            , B.A.      , Public Relations           , Mutah University             , 2000-05-25    , Madaba     , Public Relations Specialist ,2023, Jordan                             , noor@example.com           , Senior PR Specialist          ," Arabic, English"
151, Ahmad Al-Haddad         , M.A.      , Digital Marketing        , Philadelphia University     , 1997-09-08    , Ramtha    , Digital Marketing Manager ,2020, Jordan                             , ahmad@example.com       , Senior Digital Marketing Manager ," Arabic, English"
152, Dana Al-Salim               , B.Sc.    , Environmental Science , Hashemite University       , 2000-03-19    , Salt            , Environmental Scientist        ,2023, Jordan                             , dana@example.com         , Senior Environmental Scientist    ," Arabic, English"
153, Malik Al-Khalidi            , Ph.D.     , Bioinformatics             , Yarmouk University          , 1996-06-22    , Zarqa         , Bioinformatician                   ,2019, Jordan                             , malik@example.com         , Lead Bioinformatician             ," Arabic, English"
154, Hala Al-Jamal                 , B.A.      , Digital Media              , Petra Tech Institute         , 2000-11-05    , Irbid           , Digital Media Specialist       ,2023, Jordan                             , hala@example.com          , Senior Digital Media Specialist ," Arabic, English"
155, Mahmoud Al-Said            , M.Sc.    , Machine Learning        , Princess Sumaya University , 1998-04-28    , Ajloun        , Machine Learning Engineer  ,2021, Jordan                             , mahmoud@example.com , Senior Machine Learning Engineer ," Arabic, English"
156, Salma Al-Dosari             , B.Sc.    , Marine Biology             , Mutah University              , 2000-08-09    , Ma'an         , Marine Biologist                    ,2023, Jordan                             , salma@example.com           , Senior Marine Biologist               ," Arabic, English"
157, Yazan Al-Qasimi            , Ph.D.     , Aerospace Engineering , Philadelphia University     , 1996-11-13    , Ramtha       , Aerospace Engineer              ,2019, Jordan                             , yazan@example.com         , Lead Aerospace Engineer             ," Arabic, English"
158, Rana Al-Abbasi                , B.A.      , Multimedia Design        , Hashemite University       , 2000-02-16    , Madaba      , Multimedia Designer              ,2023, Jordan                             , rana@example.com            , Senior Multimedia Designer         ," Arabic, English"
159, Ahmed Al-Khayyat          , M.A.      , Data Science                 , Yarmouk University          , 1997-07-19    , Salt             , Data Scientist                         ,2020, Jordan                             , ahmed@example.com       , Senior Data Scientist                   ," Arabic, English"
160, Laila Al-Khalaf               , B.Sc.    , Genetics                         , Petra Tech Institute          , 2000-10-23    , Irbid           , Geneticist                                   ,2023, Jordan                             , laila@example.com             , Senior Geneticist                               ," Arabic, English"
161, Bilal Al-Abbadi                , Ph.D.     , Cybersecurity               , Princess Sumaya University , 1996-03-26    , Ajloun        , Cybersecurity Expert               ,2019, Jordan                             , bilal@example.com                , Lead Cybersecurity Expert               ," Arabic, English"
162, Nour Al-Qudsi                 , B.A.      , Urban Design                , Mutah University              , 2000-06-07    , Zarqa          , Urban Designer                          ,2023, Jordan                             , nour@example.com                , Senior Urban Designer                       ," Arabic, English"
163, Omar Al-Khatib                , M.Sc.    , Cognitive Science          , Hashemite University       , 1998-09-30    , Ramtha        , Cognitive Scientist                  ,2021, Jordan                             , omar@example.com             , Senior Cognitive Scientist              ," Arabic, English"
164, Dima Al-Sarraj                 , B.Sc.    , Materials Science          , Philadelphia University       , 2000-12-13    , Ma'an           , Materials Scientist                    ,2023, Jordan                             , dima@example.com                , Senior Materials Scientist                  ," Arabic, English"
165, Tareq Al-Tahan               , Ph.D.     , Artificial Intelligence    , Yarmouk University          , 1996-01-26    , Salt              , AI Researcher                               ,2019, Jordan                             , tareq@example.com               , Lead AI Researcher                            ," Arabic, English"
166, Rania Al-Masri                , B.A.      , Public Relations               , Petra Tech Institute          , 2000-04-18    , Ajloun         , PR Specialist                                   ,2023, Jordan                             , rania@example.com               , Senior PR Specialist                            ," Arabic, English"
167, Sami Al-Hamad                 , M.A.      , Digital Marketing            , Princess Sumaya University , 1997-08-11    , Irbid            , Digital Marketing Manager       ,2020, Jordan                             , sami@example.com                , Senior Digital Marketing Manager   ," Arabic, English"
